sourceName,sourceVersion,device,creationDate,startDate,endDate,workoutActivityType,duration,durationUnit,totalDistance,totalDistanceUnit,totalEnergyBurned,totalEnergyBurnedUnit
"Ziad’s Apple Watch","4.1",,2018-01-20 21:04:07 +0200,2018-01-20 20:16:12 +0200,2018-01-20 21:04:07 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",47.9177670677503,"min",0,"km",705.6669999999974,"kcal"
"Ziad’s Apple Watch","4.1",,2018-01-22 22:48:38 +0200,2018-01-22 21:58:14 +0200,2018-01-22 22:48:38 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",50.4033672829469,"min",0,"km",781.392000000006,"kcal"
"Ziad’s Apple Watch","4.1",,2018-01-25 22:49:12 +0200,2018-01-25 22:06:11 +0200,2018-01-25 22:49:12 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",43.01030146678288,"min",0,"km",659.229000000004,"kcal"
"Ziad’s Apple Watch","4.1",,2018-01-26 23:09:13 +0200,2018-01-26 22:12:27 +0200,2018-01-26 23:09:12 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",56.76039544939995,"min",0,"km",842.5419999999978,"kcal"
"Ziad’s Apple Watch","4.1",,2018-01-27 21:45:21 +0200,2018-01-27 21:04:30 +0200,2018-01-27 21:45:21 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",40.85330505172411,"min",0,"km",574.8820000000018,"kcal"
"Ziad’s Apple Watch","4.1",,2018-02-02 23:01:09 +0200,2018-02-02 22:06:16 +0200,2018-02-02 23:01:08 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",54.86881921688715,"min",0,"km",897.7219999999993,"kcal"
"Ziad’s Apple Watch","4.1",,2018-02-05 22:58:10 +0200,2018-02-05 22:00:26 +0200,2018-02-05 22:58:10 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",57.72593258221944,"min",0,"km",709.8850000000012,"kcal"
"Ziad’s Apple Watch","4.1",,2018-02-07 22:46:27 +0200,2018-02-07 22:02:34 +0200,2018-02-07 22:46:27 +0200,"HKWorkoutActivityTypeTraditionalStrengthTraining",43.87566243211428,"min",0,"km",252.0979999999994,"kcal"
"Ziad’s Apple Watch","4.1",,2018-02-09 23:39:10 +0200,2018-02-09 22:07:27 +0200,2018-02-09 23:39:09 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",91.71521146694819,"min",0,"km",1489.320999999996,"kcal"
"Ziad’s Apple Watch","4.1",,2018-02-10 21:03:47 +0200,2018-02-10 20:22:16 +0200,2018-02-10 21:03:47 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",41.51196813186009,"min",0,"km",607.0860000000019,"kcal"
